"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4";"C3msk";4;"0.1uF";;;
3;"C9,C10,C11,C12";"C1V7msk";4;"10uF";;;
4;"D9,D10";"DO15msk";2;"1N5818";;;
7;"P1";"2x05msk";1;"CONN_02X05";;;
8;"R3";"3296Ymsk";1;"1k";;;
9;"R27,R32";"3296Ymsk";2;"50k";;;
10;"U1,U2";"TO92msk";2;"TL431_TO92";;;
11;"U3,U4";"DIP14msk";2;"socket";;;
15;"H7,H8";"Hardware";2;"M3x10";;;
15;"H9,H10";"Hardware";2;"M3x11";;;
16;"H11,H12";"Hardware";2;"M3x6";;;
17;"J9,P2";"SIP12msk";2;"CONN_01X12";;;
18;"D1,D2,D3,D4,D5,D6,D7,D8,D13,D15,D17,D19";"DO35_3msk";12;"1N4148";;;
19;"R1,R5,R8,R12";"R35valmsk";4;"8.2k";;;
20;"R2,R4";"R35valmsk";2;"6.8k";;;
21;"R6,R7";"R35valmsk";2;"1.8k";;;
22;"R9,R10,R11";"R35valmsk";3;"2.7k";;;
25;"R17,R22";"R35valmsk";2;"200k";;;
26;"R18,R19,R20,R21,R23,R24,R25,R26";"R35valmsk";8;"47k";;;
27;"R28,R29,R30,R31,R33,R34,R35,R36";"R35valmsk";8;"499k*";;;
