"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11";"TO92Xmsk";11;"SS8550D";;;
2;"U8";"TO92msk";1;"78L09";;;
3;"C21,C20,C9,C8,C7";"C6_multimsk";5;"470pF 1%";;;
4;"C19,C28";"C1V7msk";2;"10uF";;;
5;"J10,J9,J8";"SIP10msk";4;"CONN_01X10";;;
5;"P40,P42,P44";"SIP10msk";4;"CONN_01X10";;;
6;"C1,C3,C4,C5,C6,C10,C12,C13,C14,C15,C17,C18,C22,C23,C24,C26,C27";"C3msk";17;"0.1uF";;;
7;"R4,R5,R6,R24,R25";"R4valmsk";5;"5.6k";;;
8;"R40";"R4valmsk";1;"4.3k";;;
9;"R49";"R4valmsk";1;"8.2k";;;
10;"R51";"R4valmsk";1;"140k";;;
11;"R52,R53";"R4valmsk";2;"1k";;;
12;"R54";"R4valmsk";1;"2.4k";;;
13;"U1,U2,U6";"DIP16msk";3;"socket";;;
14;"U3,U4,U5,U7";"DIP14msk";4;"socket";;;
15;"U9";"TO92msk";1;"TL431";;;
21;"R90";"R4valmsk";1;"1M";;;
22;"P17";"1x01msk";1;"CONN_01X01";;;
64;"H13,H14,H15,H16";"Hardware";4;"HexNut";;;
66;"H21,H22,H23,H24,H25,H26,H27,H28";"Hardware";8;"M3x11";;;
