"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2";"C2_3x2msk";1;"0.47uF";;;
2;"R88";"R4valmsk";1;"680k";;;
3;"C25";"C2msk";1;"100pF";;;
4;"C29";"C2msk";1;"22pF";;;
5;"C30,C31";"C3msk";2;"0.1uF";;;
6;"D1,D3";"DO35msk";2;"1N4148";;;
7;"D6,D8";"DO35msk";2;"1N5233B";;;
8;"D7,D9";"DO35msk";2;"1N5230B";;;
9;"J1,J2,J3,J4,J5,J6";"mono_jack_up";6;"1502 03";;;
10;"Q12,Q14,Q15";"TO92msk";3;"2N5088";;;
11;"Q13";"TO92Xmsk";1;"SS8550D";;;
12;"R55";"R4valmsk";1;"150k";;;
13;"R57,R64,R65,R66,R70,R79,R83,R85";"R4valmsk";8;"100k";;;
14;"R58";"R4valmsk";1;"3.3k";;;
15;"R59,R61";"R4valmsk";2;"91k";;;
16;"R60";"R4valmsk";1;"5.6k";;;
17;"R63";"R4valmsk";1;"68k";;;
18;"R67";"R4valmsk";1;"11k";;;
19;"R68";"R4valmsk";1;"27k";;;
20;"R71";"R4valmsk";1;"10k NTC";;;
21;"R72,R76";"R4valmsk";2;"2.7k";;;
22;"R73";"R4valmsk";1;"240k";;;
23;"R74";"R4valmsk";1;"4.7M";;;
24;"R75";"R4valmsk";1;"22k";;;
25;"R80";"R4valmsk";1;"1k";;;
26;"R82";"R4valmsk";1;"10k";;;
27;"R84";"R4valmsk";1;"39k";;;
28;"U10";"DIP14msk";1;"socket";;;
51;"U1,U2,U6";"DIP16msk";3;"LM13700";;;
52;"U3,U4,U5,U7,U10";"DIP14msk";5;"TL074";;;
29;"J7";"SIP10msk";1;"CONN_01X10";;;
29;"P26";"SIP10msk";1;"CONN_01X10";;;
30;"R77";"3296Pmsk";1;"500";;;
31;"H1,H2,H3,H4,H5,H7";"MountingHole_M3";6;"CONN_01X01";;;
32;"C32";"C2_3x2msk";1;"JUMP";;;
33;"P11,P19";"1x01msk";2;"CONN_01X01";;;
34;"R56,R62,R69,R78,R81";"P260Tpot";5;"100k";;;
35;"SW3";"ESwitch100DP";1;"100DP1T1B1M2";;;
36;"R89";"3296Pmsk";1;"100k";;;
65;"H17,H18,H19,H20";"Hardware";4;"M3x13";;;
67;"H29,H30,H31,H32";"Hardware";4;"M3x6";;;
